4046230,en,NA,"North America",US,"United States",TX,Texas,,,Cherokee,625,America/Chicago
4046255,en,NA,"North America",US,"United States",AL,Alabama,,,"Bay Minette",686,America/Chicago
4046274,en,NA,"North America",US,"United States",TX,Texas,,,Edna,618,America/Chicago
4046294,en,NA,"North America",US,"United States",TX,Texas,,,Fischer,641,America/Chicago
4046332,en,NA,"North America",US,"United States",TX,Texas,,,Henderson,709,America/Chicago
4046430,en,NA,"North America",US,"United States",TX,Texas,,,Natalia,641,America/Chicago
4046499,en,NA,"North America",US,"United States",AL,Alabama,,,"Bear Creek",630,America/Chicago
4046654,en,NA,"North America",US,"United States",VA,Virginia,,,Capeville,544,America/New_York
4046734,en,NA,"North America",US,"United States",VA,Virginia,,,Hallwood,576,America/New_York
4046890,en,NA,"North America",US,"United States",VA,Virginia,,,Sperryville,511,America/New_York
4046946,en,NA,"North America",US,"United States",VA,Virginia,,,Yorktown,544,America/New_York
4047010,en,NA,"North America",US,"United States",WV,"West Virginia",,,Elkhorn,559,America/New_York
4047028,en,NA,"North America",US,"United States",WV,"West Virginia",,,Hambleton,598,America/New_York
4047116,en,NA,"North America",US,"United States",WV,"West Virginia",,,Premier,559,America/New_York
4047540,en,NA,"North America",US,"United States",AR,Arkansas,,,Cove,612,America/Chicago
4047572,en,NA,"North America",US,"United States",AR,Arkansas,,,Guy,693,America/Chicago
4047644,en,NA,"North America",US,"United States",AR,Arkansas,,,Onia,693,America/Chicago
4047658,en,NA,"North America",US,"United States",AR,Arkansas,,,Pollard,734,America/Chicago
4047688,en,NA,"North America",US,"United States",AR,Arkansas,,,Springfield,693,America/Chicago
4047734,en,NA,"North America",US,"United States",DE,Delaware,,,"Ocean View",576,America/New_York
4047827,en,NA,"North America",US,"United States",AL,Alabama,,,Berry,630,America/Chicago
4047834,en,NA,"North America",US,"United States",FL,Florida,,,"Lake Monroe",534,America/New_York
4047876,en,NA,"North America",US,"United States",FL,Florida,,,Parrish,539,America/New_York
4048023,en,NA,"North America",US,"United States",AL,Alabama,,,Bessemer,630,America/Chicago
4048084,en,NA,"North America",US,"United States",GA,Georgia,,,Lenox,525,America/New_York
4048094,en,NA,"North America",US,"United States",GA,Georgia,,,Patterson,507,America/New_York
4048250,en,NA,"North America",US,"United States",IL,Illinois,,,Dennison,581,America/Chicago
4048318,en,NA,"North America",US,"United States",IN,Indiana,,,"Cross Plains",515,America/Indiana/Indianapolis
4048332,en,NA,"North America",US,"United States",IN,Indiana,,,Aurora,515,America/New_York
4048402,en,NA,"North America",US,"United States",IN,Indiana,,,Solsberry,527,America/Indiana/Indianapolis
4048442,en,NA,"North America",US,"United States",MD,Maryland,,,Belcamp,512,America/New_York
4048468,en,NA,"North America",US,"United States",KS,Kansas,,,"Prairie View",722,America/Chicago
4048488,en,NA,"North America",US,"United States",KS,Kansas,,,Stockton,678,America/Chicago
4048512,en,NA,"North America",US,"United States",KY,Kentucky,,,Chaplin,529,America/New_York
4048612,en,NA,"North America",US,"United States",KY,Kentucky,,,"Horse Branch",649,America/Chicago
